,open,high,low,close,volume,sp500_close,dxy,gold,treasury_10y,gpr
2024-03-01,61130.99,63114.23,60777.0,62387.9,47737.93473,5137.080078125,103.86000061035156,2086.89990234375,0.4179999828338623,144.47335815429688
2024-03-02,62387.9,62433.19,61561.12,61987.28,25534.73659,5137.080078125,103.86000061035156,2086.89990234375,0.4179999828338623,144.47335815429688
2024-03-03,61987.28,63231.88,61320.0,63113.97,28994.90903,5137.080078125,103.86000061035156,2086.89990234375,0.4179999828338623,144.47335815429688
2024-03-04,63113.97,68499.0,62300.0,68245.71,84835.16005,5130.9501953125,103.83000183105469,2117.699951171875,0.42189998626708985,144.47335815429688
2024-03-05,68245.71,69000.0,59005.0,63724.01,132696.7813,5078.64990234375,103.80000305175781,2133.5,0.413700008392334,144.47335815429688
2024-03-06,63724.01,67641.1,62779.14,66074.04,78738.85491,5104.759765625,103.37000274658203,2150.300048828125,0.4104000091552734,144.47335815429688
2024-03-07,66074.04,67980.0,65551.0,66823.17,53059.8869,5157.35986328125,102.81999969482422,2158.0,0.40920000076293944,144.47335815429688
2024-03-08,66823.18,69990.0,66082.66,68124.19,74261.932842,5123.68994140625,102.73999786376953,2178.60009765625,0.40890002250671387,144.47335815429688
2024-03-09,68124.2,68541.1,67861.1,68313.27,19872.89743,5123.68994140625,102.73999786376953,2178.60009765625,0.40890002250671387,144.47335815429688
2024-03-10,68313.28,69887.61,68094.75,68955.88,38404.66835,5123.68994140625,102.73999786376953,2178.60009765625,0.40890002250671387,144.47335815429688
2024-03-11,68955.88,72800.0,67024.96,72078.1,75292.825726,5117.93994140625,102.87000274658203,2182.5,0.4104000091552734,144.47335815429688
2024-03-12,72078.1,73000.0,68620.82,71452.01,68783.546691,5175.27001953125,102.95999908447266,2160.39990234375,0.41550002098083494,144.47335815429688
2024-03-13,71452.0,73650.25,71333.31,73072.41,52659.711647,5165.31005859375,102.79000091552734,2175.39990234375,0.4191999912261963,144.47335815429688
2024-03-14,73072.4,73777.0,68555.0,71388.94,71757.628746,5150.47998046875,103.36000061035156,2163.0,0.42979998588562013,144.47335815429688
2024-03-15,71388.94,72419.71,65600.0,69499.85,103334.03546,5117.08984375,103.43000030517578,2157.300048828125,0.4303999900817871,144.47335815429688
2024-03-16,69499.84,70043.0,64780.0,65300.63,55926.95336,5117.08984375,103.43000030517578,2157.300048828125,0.4303999900817871,144.47335815429688
2024-03-17,65300.64,68904.4,64533.0,68393.48,49742.21589,5117.08984375,103.43000030517578,2157.300048828125,0.4303999900817871,144.47335815429688
2024-03-18,68393.47,68956.0,66565.2,67609.99,55691.08088,5149.419921875,103.58000183105469,2160.699951171875,0.43400001525878906,144.47335815429688
2024-03-19,67610.0,68124.11,61555.0,61937.4,101005.32487,5178.509765625,103.80999755859375,2156.300048828125,0.4296999931335449,144.47335815429688
2024-03-20,61937.41,68100.0,60775.0,67840.51,90420.58592,5224.6201171875,103.41000366210938,2157.89990234375,0.42729997634887695,144.47335815429688
2024-03-21,67840.51,68240.47,64529.01,65501.27,53357.48002,5241.52978515625,104.0,2182.39990234375,0.42709999084472655,144.47335815429688
2024-03-22,65501.28,66649.62,62260.0,63796.64,51482.37821,5234.18017578125,104.43000030517578,2158.10009765625,0.4217999935150146,144.47335815429688
2024-03-23,63796.64,65999.0,63000.0,63990.01,26410.11409,5234.18017578125,104.43000030517578,2158.10009765625,0.4217999935150146,144.47335815429688
2024-03-24,63990.02,67628.69,63772.29,67209.99,31395.78015,5234.18017578125,104.43000030517578,2158.10009765625,0.4217999935150146,144.47335815429688
2024-03-25,67210.0,71150.0,66385.06,69880.01,53431.14486,5218.18994140625,104.2300033569336,2174.800048828125,0.42529997825622556,144.47335815429688
2024-03-26,69880.0,71561.1,69280.0,69988.0,38934.38417,5203.580078125,104.29000091552734,2175.60009765625,0.4234000205993652,144.47335815429688
2024-03-27,69987.99,71769.54,68359.18,69469.99,49119.35685,5248.490234375,104.3499984741211,2190.60009765625,0.4196000099182129,144.47335815429688
2024-03-28,69469.99,71552.06,68903.62,70780.6,35439.03239,5254.35009765625,104.55000305175781,2217.39990234375,0.42059998512268065,144.47335815429688
2024-03-29,70780.6,70916.16,69009.0,69850.54,25445.08353,5254.35009765625,104.55000305175781,2217.39990234375,0.42059998512268065,144.47335815429688
2024-03-30,69850.53,70321.1,69540.0,69582.18,13644.61142,5254.35009765625,104.55000305175781,2217.39990234375,0.42059998512268065,144.47335815429688
2024-03-31,69582.17,71366.0,69562.99,71280.01,19396.34433,5254.35009765625,104.55000305175781,2217.39990234375,0.42059998512268065,144.47335815429688
2024-04-01,71280.0,71288.23,68062.86,69649.8,41445.32039,5243.77001953125,105.0199966430664,2236.5,0.43289999961853026,144.47335815429688
2024-04-02,69649.81,69674.23,64550.0,65463.99,71799.82793,5205.81005859375,104.81999969482422,2261.0,0.43649997711181643,144.47335815429688
2024-04-03,65463.99,66903.63,64493.07,65963.28,39887.21778,5211.490234375,104.25,2294.39990234375,0.4355000019073486,144.47335815429688
2024-04-04,65963.27,69309.91,65064.52,68487.79,41510.48453,5147.2099609375,104.12000274658203,2288.800048828125,0.43090000152587893,144.47335815429688
2024-04-05,68487.8,68756.67,65952.56,67820.62,37915.23073,5204.33984375,104.30000305175781,2325.699951171875,0.4377999782562256,144.47335815429688
2024-04-06,67820.63,69692.0,67447.83,68896.0,20134.28919,5204.33984375,104.30000305175781,2325.699951171875,0.4377999782562256,144.47335815429688
2024-04-07,68896.0,70326.29,68824.0,69360.39,21534.74433,5204.33984375,104.30000305175781,2325.699951171875,0.4377999782562256,144.47335815429688
2024-04-08,69360.38,72797.99,69043.24,71620.0,45723.87624,5202.39013671875,104.13999938964844,2331.699951171875,0.4423999786376953,144.47335815429688
2024-04-09,71620.0,71758.19,68210.0,69146.0,39293.90242,5209.91015625,104.1500015258789,2343.5,0.4366000175476074,144.47335815429688
2024-04-10,69146.0,71172.08,67518.0,70631.08,42006.02377,5160.64013671875,105.25,2329.60009765625,0.4559999942779541,144.47335815429688
2024-04-11,70631.08,71305.89,69567.21,70006.23,31917.25595,5199.06005859375,105.27999877929688,2354.800048828125,0.4576000213623047,144.47335815429688
2024-04-12,70006.22,71227.46,65086.86,67116.52,56072.86229,5123.41015625,106.04000091552734,2356.199951171875,0.4499000072479248,144.47335815429688
2024-04-13,67116.52,67929.0,60660.57,63924.51,71395.22019,5123.41015625,106.04000091552734,2356.199951171875,0.4499000072479248,144.47335815429688
2024-04-14,63924.52,65840.0,62134.0,65661.84,61599.17818,5123.41015625,106.04000091552734,2356.199951171875,0.4499000072479248,144.47335815429688
2024-04-15,65661.85,66867.07,62274.4,63419.99,52389.53069,5061.81982421875,106.20999908447266,2365.800048828125,0.4627999782562256,144.47335815429688
2024-04-16,63419.99,64365.0,61600.0,63793.39,53435.29331,5051.41015625,106.26000213623047,2390.800048828125,0.46589999198913573,144.47335815429688
2024-04-17,63793.4,64499.0,59678.16,61277.37,50610.54509,5022.2099609375,105.94999694824219,2371.699951171875,0.45850000381469724,144.47335815429688
2024-04-18,61277.38,64117.09,60803.35,63470.08,43601.60918,5011.1201171875,106.1500015258789,2382.300048828125,0.46469998359680176,144.47335815429688
2024-04-19,63470.09,65450.0,59600.01,63818.01,69774.30271,4967.22998046875,106.1500015258789,2398.39990234375,0.4614999771118164,144.47335815429688
2024-04-20,63818.01,65419.0,63090.07,64940.59,23137.42975,4967.22998046875,106.1500015258789,2398.39990234375,0.4614999771118164,144.47335815429688
2024-04-21,64940.58,65695.56,64237.5,64941.15,19316.42152,4967.22998046875,106.1500015258789,2398.39990234375,0.4614999771118164,144.47335815429688
2024-04-22,64941.15,67232.35,64500.0,66819.32,31397.99371,5010.60009765625,106.08000183105469,2332.199951171875,0.4623000144958496,144.47335815429688
2024-04-23,66819.32,67183.01,65765.81,66414.0,22599.90004,5070.5498046875,105.69000244140625,2327.699951171875,0.45980000495910645,144.47335815429688
2024-04-24,66414.0,67070.43,63606.06,64289.59,33595.69637,5071.6298828125,105.86000061035156,2324.5,0.46519999504089354,144.47335815429688
2024-04-25,64289.58,65297.94,62794.0,64498.34,31341.46338,5048.419921875,105.5999984741211,2329.800048828125,0.47059998512268064,144.47335815429688
2024-04-26,64498.33,64820.01,63297.48,63770.01,27085.19346,5099.9599609375,105.94000244140625,2334.800048828125,0.46690001487731936,144.47335815429688
2024-04-27,63770.0,63923.41,62391.24,63461.98,20933.06052,5099.9599609375,105.94000244140625,2334.800048828125,0.46690001487731936,144.47335815429688
2024-04-28,63461.98,64370.0,62781.0,63118.62,16949.20005,5099.9599609375,105.94000244140625,2334.800048828125,0.46690001487731936,144.47335815429688
2024-04-29,63118.62,64228.35,61765.53,63866.0,28150.22947,5116.169921875,105.58000183105469,2345.39990234375,0.4613999843597412,144.47335815429688
2024-04-30,63866.0,64734.0,59191.6,60672.0,54947.65535,5035.68994140625,106.22000122070312,2291.39990234375,0.4685999870300293,144.47335815429688
2024-05-01,60672.01,60841.63,56552.82,58364.97,81166.46823,5018.39013671875,105.76000213623047,2299.89990234375,0.45949997901916506,144.47335815429688
2024-05-02,58364.97,59625.0,56911.84,59060.61,47583.81961,5064.2001953125,105.30000305175781,2299.199951171875,0.45710000991821287,144.47335815429688
2024-05-03,59060.6,63333.0,58811.32,62882.01,43628.40143,5127.7900390625,105.02999877929688,2299.0,0.45,144.47335815429688
2024-05-04,62882.01,64540.0,62541.03,63892.04,24368.69282,5127.7900390625,105.02999877929688,2299.0,0.45,144.47335815429688
2024-05-05,63892.03,64646.0,62822.17,64012.0,18526.75029,5127.7900390625,105.02999877929688,2299.0,0.45,144.47335815429688
2024-05-06,64012.0,65500.0,62700.0,63165.19,34674.91949,5180.740234375,105.05000305175781,2321.60009765625,0.4488999843597412,144.47335815429688
2024-05-07,63165.18,64422.41,62261.0,62312.08,25598.79472,5187.7001953125,105.41000366210938,2315.199951171875,0.44629998207092286,144.47335815429688
2024-05-08,62312.07,63020.22,60888.0,61193.03,26121.19004,5187.669921875,105.55000305175781,2313.60009765625,0.4492000102996826,144.47335815429688
2024-05-09,61193.03,63429.03,60630.0,63074.01,30660.8061,5214.080078125,105.2300033569336,2332.10009765625,0.4448999881744385,144.47335815429688
2024-05-10,63074.0,63469.13,60187.12,60799.99,36529.34025,5222.68017578125,105.30999755859375,2367.300048828125,0.4504000186920166,144.47335815429688
2024-05-11,60799.99,61515.0,60487.09,60825.99,13374.56936,5222.68017578125,105.30999755859375,2367.300048828125,0.4504000186920166,144.47335815429688
2024-05-12,60825.99,61888.0,60610.0,61483.99,12753.13236,5222.68017578125,105.30999755859375,2367.300048828125,0.4504000186920166,144.47335815429688
2024-05-13,61484.0,63450.0,60749.21,62940.08,32733.41839,5221.419921875,105.22000122070312,2336.10009765625,0.44809999465942385,144.47335815429688
2024-05-14,62940.09,63118.36,61142.77,61577.49,29088.72041,5246.68017578125,105.01000213623047,2353.39990234375,0.4445000171661377,144.47335815429688
2024-05-15,61577.49,66444.16,61319.47,66206.5,43559.74719,5308.14990234375,104.3499984741211,2388.699951171875,0.43559999465942384,144.47335815429688
2024-05-16,66206.51,66752.01,64602.77,65235.21,31106.3671,5297.10009765625,104.45999908447266,2380.0,0.4376999855041504,144.47335815429688
2024-05-17,65235.21,67451.2,65106.38,67024.0,26292.23409,5303.27001953125,104.44999694824219,2412.199951171875,0.4420000076293945,144.47335815429688
2024-05-18,67024.0,67400.01,66600.0,66915.2,14441.25774,5303.27001953125,104.44999694824219,2412.199951171875,0.4420000076293945,144.47335815429688
2024-05-19,66915.2,67700.0,65857.25,66274.01,18025.30409,5303.27001953125,104.44999694824219,2412.199951171875,0.4420000076293945,144.47335815429688
2024-05-20,66274.0,71515.56,66060.31,71446.62,50816.7011,5308.1298828125,104.56999969482422,2433.89990234375,0.4436999797821045,144.47335815429688
2024-05-21,71446.62,71979.0,69162.94,70148.34,49607.4336,5321.41015625,104.66000366210938,2421.699951171875,0.44140000343322755,144.47335815429688
2024-05-22,70148.34,70666.0,68842.19,69166.62,27673.18026,5307.009765625,104.94000244140625,2389.199951171875,0.4434000015258789,144.47335815429688
2024-05-23,69166.62,70096.12,66312.16,67969.65,40513.17374,5267.83984375,105.11000061035156,2335.0,0.44749999046325684,144.47335815429688
2024-05-24,67969.66,69250.0,66600.12,68549.99,28095.83664,5304.72021484375,104.72000122070312,2332.5,0.4467000007629395,144.47335815429688
2024-05-25,68549.99,69610.0,68500.0,69290.57,12130.39418,5304.72021484375,104.72000122070312,2332.5,0.4467000007629395,144.47335815429688
2024-05-26,69290.56,69562.23,68128.01,68507.67,11872.11797,5304.72021484375,104.72000122070312,2332.5,0.4467000007629395,144.47335815429688
2024-05-27,68507.67,70687.56,68250.0,69436.43,23136.92737,5304.72021484375,104.72000122070312,2332.5,0.4467000007629395,144.47335815429688
2024-05-28,69436.43,69591.81,67277.91,68398.39,32622.97042,5306.0400390625,104.61000061035156,2355.199951171875,0.45419998168945314,144.47335815429688
2024-05-29,68398.4,68935.68,67124.65,67652.42,23159.83149,5266.9501953125,105.0999984741211,2340.300048828125,0.4624000072479248,144.47335815429688
2024-05-30,67652.41,69500.0,67128.0,68352.17,28478.2184,5235.47998046875,104.72000122070312,2342.89990234375,0.4553999900817871,144.47335815429688
2024-05-31,68352.17,69044.1,66670.0,67540.01,26690.32184,5277.509765625,104.66999816894531,2322.89990234375,0.4513999938964844,144.47335815429688
2024-06-01,67540.01,67900.0,67428.44,67766.85,8837.66133,5277.509765625,104.66999816894531,2322.89990234375,0.4513999938964844,144.47335815429688
2024-06-02,67766.84,68460.0,67257.47,67765.63,15426.32529,5277.509765625,104.66999816894531,2322.89990234375,0.4513999938964844,144.47335815429688
2024-06-03,67765.62,70288.0,67612.48,68809.9,29633.374,5283.39990234375,104.13999938964844,2346.60009765625,0.4401999950408936,144.47335815429688
2024-06-04,68809.89,71063.45,68567.32,70537.84,29619.78489,5291.33984375,104.11000061035156,2325.5,0.43359999656677245,144.47335815429688
2024-06-05,70537.83,71758.0,70383.66,71108.0,28703.18082,5354.02978515625,104.2699966430664,2354.10009765625,0.42890000343322754,144.47335815429688
2024-06-06,71108.0,71700.0,70117.64,70799.06,21842.00449,5352.9599609375,104.0999984741211,2370.300048828125,0.4281000137329102,144.47335815429688
2024-06-07,70799.06,71997.02,68420.0,69355.6,35598.45045,5346.990234375,104.88999938964844,2305.199951171875,0.4429999828338623,144.47335815429688
2024-06-08,69355.6,69582.2,69168.02,69310.46,9773.82967,5346.990234375,104.88999938964844,2305.199951171875,0.4429999828338623,144.47335815429688
2024-06-09,69310.46,69857.14,69130.24,69648.14,9890.56709,5346.990234375,104.88999938964844,2305.199951171875,0.4429999828338623,144.47335815429688
2024-06-10,69648.15,70195.94,69172.29,69540.0,17122.66941,5360.7900390625,105.1500015258789,2307.699951171875,0.4468999862670898,144.47335815429688
2024-06-11,69540.0,69590.01,66051.0,67314.24,41436.01588,5375.31982421875,105.2300033569336,2307.5,0.4403999805450439,144.47335815429688
2024-06-12,67314.23,69999.0,66905.0,68263.99,37175.32356,5421.02978515625,104.6500015258789,2336.0,0.42950000762939455,144.47335815429688
2024-06-13,68263.98,68449.3,66251.78,66773.01,29079.55571,5433.740234375,105.19999694824219,2300.199951171875,0.423799991607666,144.47335815429688
2024-06-14,66773.01,67370.24,65078.0,66043.99,28408.18797,5431.60009765625,105.55000305175781,2331.39990234375,0.42129998207092284,144.47335815429688
2024-06-15,66043.99,66478.48,65857.1,66228.25,11451.80242,5431.60009765625,105.55000305175781,2331.39990234375,0.42129998207092284,144.47335815429688
2024-06-16,66228.25,66998.7,66034.5,66676.87,9392.52223,5431.60009765625,105.55000305175781,2331.39990234375,0.42129998207092284,144.47335815429688
2024-06-17,66676.86,67298.81,65130.0,66504.33,27386.16851,5473.22998046875,105.31999969482422,2312.39990234375,0.42789998054504397,144.47335815429688
2024-06-18,66504.33,66588.23,64060.0,65175.32,42350.10244,5487.02978515625,105.26000213623047,2330.39990234375,0.42170000076293945,144.47335815429688
2024-06-19,65175.32,65727.54,64666.0,64974.37,20060.79576,5487.02978515625,105.26000213623047,2330.39990234375,0.42170000076293945,144.47335815429688
2024-06-20,64974.37,66482.94,64559.15,64869.99,24265.29031,5473.169921875,105.58999633789062,2353.800048828125,0.4254000186920166,144.47335815429688
2024-06-21,64869.99,65066.66,63379.35,64143.56,25993.56442,5464.6201171875,105.80000305175781,2316.39990234375,0.4256999969482422,144.47335815429688
2024-06-22,64143.56,64546.81,63943.82,64262.01,7308.95542,5464.6201171875,105.80000305175781,2316.39990234375,0.4256999969482422,144.47335815429688
2024-06-23,64262.01,64521.0,63178.32,63210.01,8224.45447,5464.6201171875,105.80000305175781,2316.39990234375,0.4256999969482422,144.47335815429688
2024-06-24,63210.01,63369.8,58402.0,60293.3,52161.35414,5447.8701171875,105.47000122070312,2330.0,0.4248000144958496,144.47335815429688
2024-06-25,60293.3,62420.0,60257.06,61806.01,31189.24361,5469.2998046875,105.61000061035156,2316.60009765625,0.423799991607666,144.47335815429688
2024-06-26,61806.01,62487.81,60712.0,60864.99,22485.66463,5477.89990234375,106.05000305175781,2299.199951171875,0.4315999984741211,144.47335815429688
2024-06-27,60864.98,62389.22,60606.63,61706.47,18344.28631,5482.8701171875,105.91000366210938,2324.5,0.42880001068115237,144.47335815429688
